Window,Period,ROI %,MaxDD %,WinRate %,Trades,PF,NetR,RESULT,sleeve
W01,Q1 2021 - Early Bull Expansion,-3.12,4.82,44.4,18,0.3,-8.11,FAIL,A
W02,Q2 2021 - Post-May-2021 Crash Rebound,-3.31,4.7,41.4,58,0.73,-3.91,FAIL,A
W03,Q3 2021 - Mid-Bull Consolidation,-1.71,4.63,37.8,37,0.85,-0.29,FAIL,A
W04,Q4 2021 - ATH Distribution & Blow-off,-4.22,4.9,36.9,65,0.73,-13.11,FAIL,A
W05,Q1 2022 - Macro Top Breakdown,-4.79,4.96,45.2,31,0.38,-11.49,FAIL,A
W06,Q2 2022 - LUNA / 3AC Contagion Crash,-0.52,4.65,25.0,8,0.88,2.02,FAIL,A
W07,Q3 2022 - Bear Market Chop,-2.96,5.03,50.0,28,0.62,-3.87,FAIL,A
W08,Q4 2022 - FTX Insolvency Capitulation,-3.87,3.93,25.9,27,0.43,-9.23,FAIL,A
W09,Q1 2023 - Early Rebound Cycle,-4.43,4.62,32.0,25,0.25,-11.22,FAIL,A
W10,Q2 2023 - Spring Consolidation,-2.55,4.84,42.9,35,0.73,-6.24,FAIL,A
W11,Q3 2023 - Summer Liquidity Vacuum,1.81,4.69,44.4,36,1.22,0.85,FAIL,A
W12,Q4 2023 - Pre-ETF Expansion,-4.97,4.97,14.3,14,0.12,-12.56,FAIL,A
W13,Q1 2024 - Spot ETF Inflow Impulse,13.8,3.24,60.0,20,3.61,25.0,FAIL,A
W14,Q2 2024 - Post-Halving Volatility,-2.16,4.68,43.8,16,0.54,-4.77,FAIL,A
W15,Q3 2024 - Summer Rangebound Drift,-4.75,5.04,20.0,20,0.22,-12.55,FAIL,A
W16,Q4 2024 - Post-Election Breakout,-4.75,4.81,7.7,13,0.0,-12.15,FAIL,A
W17,Q1 2025 - High-Beta Altcoin Cycle,-4.45,5.06,20.0,15,0.05,-11.27,FAIL,A
W18,Q2 2025 - Macro Liquidity Compression,-2.81,5.06,44.0,25,0.58,-6.87,FAIL,A
W19,Q3 2025 - Structural Redistribution,-4.73,5.04,15.8,19,0.26,-13.51,FAIL,A
W20,Q4 2025 - Post-Oct-2025 Flash Cascade Era,-4.21,5.17,28.0,25,0.41,-12.42,FAIL,A
W01,Q1 2021 - Early Bull Expansion,-1.48,4.93,45.0,20,0.71,-4.47,FAIL,B
W02,Q2 2021 - Post-May-2021 Crash Rebound,-4.43,4.53,46.7,30,0.25,-11.03,FAIL,B
W03,Q3 2021 - Mid-Bull Consolidation,-3.19,4.6,45.5,33,0.48,-9.02,FAIL,B
W04,Q4 2021 - ATH Distribution & Blow-off,-4.62,4.76,36.0,25,0.17,-12.05,FAIL,B
W05,Q1 2022 - Macro Top Breakdown,-4.14,4.69,37.0,27,0.3,-10.89,FAIL,B
W06,Q2 2022 - LUNA / 3AC Contagion Crash,-2.65,4.86,50.8,59,0.78,-2.59,FAIL,B
W07,Q3 2022 - Bear Market Chop,-3.09,4.72,40.0,25,0.35,-8.93,FAIL,B
W08,Q4 2022 - FTX Insolvency Capitulation,-4.69,4.73,30.4,23,0.15,-11.69,FAIL,B
W09,Q1 2023 - Early Rebound Cycle,-4.77,4.78,33.3,27,0.2,-12.14,FAIL,B
W10,Q2 2023 - Spring Consolidation,-0.96,4.54,30.8,26,0.88,-2.6,FAIL,B
W11,Q3 2023 - Summer Liquidity Vacuum,-1.92,4.37,33.3,18,0.62,-4.24,FAIL,B
W12,Q4 2023 - Pre-ETF Expansion,-2.78,5.07,48.4,31,0.54,-7.72,FAIL,B
W13,Q1 2024 - Spot ETF Inflow Impulse,-1.19,4.5,48.1,27,0.8,-2.37,FAIL,B
W14,Q2 2024 - Post-Halving Volatility,-2.64,4.57,52.0,50,0.72,-8.18,FAIL,B
W15,Q3 2024 - Summer Rangebound Drift,-4.51,4.8,34.5,29,0.29,-10.82,FAIL,B
W16,Q4 2024 - Post-Election Breakout,-4.72,4.85,29.2,24,0.23,-12.35,FAIL,B
W17,Q1 2025 - High-Beta Altcoin Cycle,0.84,4.84,48.0,25,1.11,2.6,FAIL,B
W18,Q2 2025 - Macro Liquidity Compression,6.08,2.59,61.9,21,2.48,7.13,FAIL,B
W19,Q3 2025 - Structural Redistribution,-4.61,4.87,44.8,58,0.57,-11.5,FAIL,B
W20,Q4 2025 - Post-Oct-2025 Flash Cascade Era,-4.33,4.6,43.8,64,0.67,-8.38,FAIL,B
W01,Q1 2021 - Early Bull Expansion,-0.71,4.41,54.5,33,0.9,0.43,FAIL,B_META
W02,Q2 2021 - Post-May-2021 Crash Rebound,-0.52,4.71,63.6,33,0.91,-1.5,FAIL,B_META
W03,Q3 2021 - Mid-Bull Consolidation,3.17,2.61,76.5,17,2.22,6.6,FAIL,B_META
W04,Q4 2021 - ATH Distribution & Blow-off,1.5,1.64,77.8,9,1.96,3.28,FAIL,B_META
W05,Q1 2022 - Macro Top Breakdown,0.18,2.19,43.8,16,1.04,1.05,FAIL,B_META
W06,Q2 2022 - LUNA / 3AC Contagion Crash,-4.0,4.85,48.7,39,0.47,-10.4,FAIL,B_META
W07,Q3 2022 - Bear Market Chop,0.48,2.0,57.1,7,1.23,1.99,FAIL,B_META
W08,Q4 2022 - FTX Insolvency Capitulation,-2.79,4.25,38.1,21,0.41,-5.86,FAIL,B_META
W09,Q1 2023 - Early Rebound Cycle,-1.86,2.15,25.0,8,0.19,-3.72,FAIL,B_META
W10,Q2 2023 - Spring Consolidation,0.4,1.13,90.0,10,21.73,0.81,FAIL,B_META
W11,Q3 2023 - Summer Liquidity Vacuum,-0.45,1.05,50.0,2,0.12,-0.91,FAIL,B_META
W12,Q4 2023 - Pre-ETF Expansion,0.53,3.27,64.3,14,1.17,3.32,FAIL,B_META
W13,Q1 2024 - Spot ETF Inflow Impulse,0.6,2.0,81.8,11,1.38,2.23,FAIL,B_META
W14,Q2 2024 - Post-Halving Volatility,-0.81,2.52,50.0,8,0.61,-1.62,FAIL,B_META
W15,Q3 2024 - Summer Rangebound Drift,-0.08,2.94,66.7,9,0.95,0.2,FAIL,B_META
W16,Q4 2024 - Post-Election Breakout,0.2,4.16,50.0,16,1.05,0.13,FAIL,B_META
W17,Q1 2025 - High-Beta Altcoin Cycle,-1.72,3.3,44.4,18,0.56,-1.81,FAIL,B_META
W18,Q2 2025 - Macro Liquidity Compression,-0.42,1.09,25.0,4,0.64,-0.83,FAIL,B_META
W19,Q3 2025 - Structural Redistribution,0.0,0.0,0.0,0,0.0,0.0,FAIL,B_META
W20,Q4 2025 - Post-Oct-2025 Flash Cascade Era,-0.33,2.5,57.1,7,0.84,0.36,FAIL,B_META
