win,trades,wins,losses,scratches,roi,dd,wr,min_win_r,max_loss_r,pass
0,17,6,3,8,0.7449162212,0.0443296000,0.6666666667,5.000000,-1.000000,1
1,28,14,6,8,3.6128470752,0.0388864000,0.7000000000,5.000000,-1.000000,1
2,15,9,5,1,1.2096309328,0.0448000000,0.6428571429,5.000000,-1.000000,1
3,43,24,5,14,9.8563873799,0.0280000000,0.8275862069,5.000000,-1.000000,1
4,25,19,2,4,9.3196770909,0.0280000000,0.9047619048,5.000000,-1.000000,1
5,33,19,5,9,5.7163422862,0.0385883750,0.7916666667,5.000000,-1.000000,1
6,15,6,3,6,1.3076956178,0.0443296000,0.6666666667,5.000000,-1.000000,1
7,32,15,6,11,1.9583404109,0.0280000000,0.7142857143,5.000000,-1.000000,1
8,29,17,4,8,5.5688952096,0.0280000000,0.8095238095,5.000000,-1.000000,1
9,6,3,2,1,0.2270355231,0.0388864000,0.6000000000,5.000000,-1.000000,1
10,37,28,6,3,17.1013861144,0.0280000000,0.8235294118,5.000000,-1.000000,1
11,20,12,4,4,1.6947271140,0.0416080000,0.7500000000,5.000000,-1.000000,1
12,25,18,5,2,5.0882055403,0.0332250849,0.7826086957,5.000000,-1.000000,1
13,24,14,1,9,4.3046467733,0.0280000000,0.9333333333,5.000000,-1.000000,1
14,27,17,5,5,4.7256570130,0.0280000000,0.7727272727,5.000000,-1.000000,1
15,30,14,4,12,4.7981236373,0.0443296000,0.7777777778,5.000000,-1.000000,1
16,17,9,4,4,1.2938723944,0.0388864000,0.6923076923,5.000000,-1.000000,1
17,26,15,5,6,4.0724156483,0.0416080000,0.7500000000,5.000000,-1.000000,1
18,11,3,4,4,0.2827582223,0.0388864000,0.4285714286,5.000000,-1.000000,1
19,15,10,2,3,2.5794120637,0.0388864000,0.8333333333,5.000000,-1.000000,1

npass,20,trades,705,wins,403,losses,126,scratches,176
total_r,2174.0744,eq_final,4804112998188779044864.0000,max_dd,0.044800
