entry_bar,exit_bar,dir,entry,exit,size,pnl_dollar,pnl_r,window,class
317,328,1,111.897366,123.0850438,50.05507037,560.000000,5.000000,-1,1
318,344,1,115.157051,128.0895642,43.30171486,560.000000,5.000000,-1,1
344,368,1,128.3169615,139.1108498,72.11488375,778.400000,5.000000,-1,1
345,378,1,130.0554456,141.4736508,75.03806272,856.800000,5.000000,-1,1
369,391,1,138.6662895,151.6940677,74.13205731,965.776000,5.000000,-1,1
379,395,1,143.2337544,155.5646174,88.04963601,1085.728000,5.000000,-1,1
395,414,1,155.7783712,169.3279094,90.10909572,1220.936640,5.000000,-1,1
396,425,1,155.3556613,177.8639386,104.2823892,2347.216936,8.548150,-1,1
415,437,1,172.1469113,187.9889702,97.45385407,1543.869690,5.000000,-1,1
438,443,1,190.4812832,186.7921884,113.232212,-417.724363,-1.000000,-1,-1
450,460,1,192.842888,192.842888,45.53059873,0.000000,0.000000,-1,0
473,478,1,198.9539714,195.8203783,64.78634365,-203.014041,-1.000000,-1,-1
434,489,1,183.026608,199.9839971,110.4226628,1872.480061,5.000000,-1,1
489,492,1,199.4712336,199.4712336,46.81802593,0.000000,0.000000,-1,0
490,492,1,201.5042791,198.0351353,104.4114989,-362.218504,-1.000000,-1,-1
512,520,1,206.343076,206.343076,47.31393029,0.000000,0.000000,-1,0
513,520,1,207.1243599,207.1243599,48.33439512,0.000000,0.000000,-1,0
530,574,1,215.3120016,237.058528,61.06230525,1327.893035,5.000000,-1,1
529,585,1,213.2254421,250.6033809,61.90582602,2313.912173,8.712720,-1,1
575,605,1,241.7875982,267.7831144,73.82996559,1919.248067,5.000000,-1,1
606,620,1,267.8609875,290.3416835,133.0787321,2991.702517,5.000000,-1,1
604,624,1,266.111233,290.8370343,118.6450747,2933.594546,5.386680,-1,1
621,628,1,291.1587538,286.2556087,139.1164562,-682.108174,-1.000000,-1,-1
635,646,1,296.4305488,321.1223946,60.35594093,1490.299585,5.000000,-1,1
636,646,1,297.5485889,321.8994736,61.20104476,1490.299585,5.000000,-1,1
647,651,1,321.4271876,314.6436659,122.14991,-828.606569,-1.000000,-1,-1
648,651,1,322.602969,315.9768201,125.0510032,-828.606569,-1.000000,-1,-1
662,666,1,331.402674,331.402674,41.68692561,0.000000,0.000000,-1,0
663,666,1,331.407307,331.407307,42.99610717,0.000000,0.000000,-1,0
685,712,1,342.8549243,374.697979,73.6931122,2346.613803,5.000000,-1,1
713,733,1,375.7063993,375.7063993,99.05433224,0.000000,0.000000,-1,0
686,755,1,351.7470513,388.2507873,64.28420921,2346.613803,5.000000,-1,1
755,786,1,385.7477025,427.9973643,90.31064111,3815.594044,5.000000,-1,1
756,786,1,388.1450617,429.2446713,111.14643,4568.074871,5.000000,-1,1
787,808,1,428.0889934,461.6903078,170.879878,5741.788519,5.000000,-1,1
788,808,1,430.1225054,463.3522755,172.7904977,5741.788519,5.000000,-1,1
811,823,1,466.9891004,512.4388151,161.7059503,7349.489304,5.000000,-1,1
812,828,1,471.9293396,539.7338147,158.9328583,10776.359022,7.331366,-1,1
824,854,1,514.8382839,586.8627912,168.7725763,12155.761659,7.254211,-1,1
855,874,1,592.1654542,652.9077911,190.7880943,11588.914702,5.000000,-1,1
829,874,1,542.8274671,647.0422067,161.2642226,16806.108967,8.499001,-1,1
882,892,1,668.7492354,725.2617195,275.4120306,15564.218016,5.000000,-1,1
883,892,1,669.1206675,723.1806769,287.9063134,15564.218016,5.000000,-1,1
893,918,1,719.7046186,797.7499102,255.264586,19922.199060,5.000000,-1,1
894,931,1,729.7784184,811.7177238,243.1336092,19922.199060,5.000000,-1,1
943,968,1,822.538019,901.2384092,324.0189119,25500.414797,5.000000,-1,1
944,968,1,824.7681917,900.7101878,335.7880505,25500.414797,5.000000,-1,1
969,969,1,905.5119546,890.9442039,448.120394,-6528.106188,-1.000000,-1,-1
979,993,1,951.8620005,932.2386565,129.3422609,-2538.127686,-1.000000,-1,-1
976,994,1,938.5959468,917.154265,118.3735359,-2538.127686,-1.000000,-1,-1
1008,1041,1,927.0707849,1120.04787,106.3573571,20524.532730,8.271773,-1,1
1009,1041,1,937.0878094,1119.924437,105.5595024,19300.143410,7.778321,-1,1
1057,1062,1,1168.157778,1168.157778,350.2562455,0.000000,0.000000,-1,0
1058,1062,1,1170.741299,1170.741299,355.4782081,0.000000,0.000000,-1,0
1073,1073,1,1225.912881,1197.698299,259.379176,-7318.274996,-1.000000,-1,-1
1072,1086,1,1215.348386,1354.708303,262.5674282,36591.374981,5.000000,-1,1
1087,1096,1,1339.139577,1339.139577,196.3631415,0.000000,0.000000,-1,0
1080,1116,1,1268.061919,1425.176131,90.55022094,14226.726593,5.000000,-1,1
1117,1120,1,1455.832084,1455.832084,207.7944847,0.000000,0.000000,-1,0
1115,1128,1,1406.263234,1597.815384,191.1784755,36620.648081,5.000000,-1,1
1129,1179,1,1602.797376,2456.508344,187.6590281,160206.570450,16.755121,-1,1
1126,1179,1,1576.382408,2456.223711,166.2083265,146236.950601,17.131247,-1,1
1185,1208,1,2599.276177,2990.479523,231.8751494,90710.334381,5.000000,-1,1
1186,1210,1,2617.94318,2999.691661,237.6180625,90710.334381,5.000000,-1,1
1209,1214,1,2990.068992,2922.193652,304.7050145,-20681.956239,-1.000000,-1,-1
1230,1237,1,3012.097387,3012.097387,122.7194863,0.000000,0.000000,-1,0
1231,1255,1,3053.788499,2976.591914,117.3251428,-9057.100331,-1.000000,-1,-1
1338,1359,-1,2327.290233,2073.041061,176.1197635,44778.304035,5.000000,-1,1
1339,1359,-1,2320.797249,2077.944175,184.3843415,44778.304035,5.000000,-1,1
1368,1451,-1,2045.385287,1805.103498,518.0737412,124483.685218,5.000000,-1,1
1369,1451,-1,2036.859462,1803.275119,532.9282059,124483.685218,5.000000,-1,1
1452,1497,-1,1784.272517,1588.246264,812.8458032,159339.117079,5.000000,-1,1
1453,1510,-1,1791.160307,1530.029289,830.684073,216917.377139,6.806784,-1,1
1498,1519,-1,1565.213666,1565.213666,1233.57306,-0.000000,-0.000000,-1,0
1545,1549,-1,1565.437349,1565.437349,1295.281829,-0.000000,-0.000000,-1,0
1556,1577,-1,1502.480506,1502.480506,1308.978127,-0.000000,-0.000000,-1,0
1597,1600,-1,1484.22052,1507.865935,1793.286578,-42403.005254,-1.000000,-1,-1
1607,1612,-1,1441.474389,1472.980323,523.2756628,-16486.288443,-1.000000,-1,-1
1546,1636,-1,1540.668651,1395.44573,1235.091598,179363.609847,4.229974,-1,0
1639,1668,-1,1359.404311,1222.653305,836.8546497,114440.715265,5.000000,-1,1
1670,1701,-1,1197.214726,1062.868526,1458.340502,195922.504534,5.000000,-1,1
1640,1708,-1,1341.618221,1034.976281,808.8213059,248018.533933,10.836114,-1,1
1706,1713,-1,1022.940704,1044.677925,2505.67708,-54466.456260,-1.000000,-1,-1
1721,1733,-1,990.4568026,990.4568026,1079.615692,-0.000000,-0.000000,-1,0
1720,1737,-1,1003.116846,1003.116846,1094.470131,-0.000000,-0.000000,-1,0
1744,1751,-1,968.8257342,988.2526175,1849.578647,-35931.548661,-1.000000,-1,-1
1745,1751,-1,961.9903336,981.207098,1869.802216,-35931.548661,-1.000000,-1,-1
1828,1831,1,1202.438276,1175.889924,871.974999,-23149.499084,-1.000000,-1,-1
1829,1831,1,1202.410536,1177.473567,928.3204794,-23149.499084,-1.000000,-1,-1
1841,1844,-1,1106.456802,1129.700087,973.6554135,-22630.950305,-1.000000,-1,-1
1852,1857,-1,1087.538556,1087.538556,1003.595205,-0.000000,-0.000000,-1,0
1853,1858,-1,1071.245135,1094.855524,947.7812498,-22377.483661,-1.000000,-1,-1
1868,1913,-1,1061.372582,956.2769788,1052.701311,110634.279221,5.000000,-1,1
1867,1948,-1,1060.758344,952.2578767,1019.66638,110634.279221,5.000000,-1,1
